model_key,layer,head,k,iou_score,program_idxs_used
0,0,1,0.730881,9
0,0,2,0.755036,9|62
0,0,3,0.734378,9|62|43
0,0,4,0.734201,9|62|43|47
0,0,5,0.740084,9|62|43|47|1
0,0,6,0.740084,9|62|43|47|1|21
0,0,7,0.740084,9|62|43|47|1|21|6
0,0,8,0.740084,9|62|43|47|1|21|6|42
0,0,9,0.740055,9|62|43|47|1|21|6|42|0
0,0,10,0.740162,9|62|43|47|1|21|6|42|0|41
0,0,11,0.74024,9|62|43|47|1|21|6|42|0|41|5
0,0,12,0.74236,9|62|43|47|1|21|6|42|0|41|5|49
0,0,13,0.742357,9|62|43|47|1|21|6|42|0|41|5|49|13
0,0,14,0.753596,9|62|43|47|1|21|6|42|0|41|5|49|13|17
0,0,15,0.789318,9|62|43|47|1|21|6|42|0|41|5|49|13|17|33
0,0,16,0.77982,9|62|43|47|1|21|6|42|0|41|5|49|13|17|33|19
0,0,17,0.779829,9|62|43|47|1|21|6|42|0|41|5|49|13|17|33|19|37
0,0,18,0.797645,9|62|43|47|1|21|6|42|0|41|5|49|13|17|33|19|37|50
0,0,19,0.800582,9|62|43|47|1|21|6|42|0|41|5|49|13|17|33|19|37|50|52
0,0,20,0.800582,9|62|43|47|1|21|6|42|0|41|5|49|13|17|33|19|37|50|52|48
0,1,1,0.707307,62
0,1,2,0.739741,62|9
0,1,3,0.718366,62|9|43
0,1,4,0.716201,62|9|43|47
0,1,5,0.724075,62|9|43|47|1
0,1,6,0.724075,62|9|43|47|1|21
0,1,7,0.724075,62|9|43|47|1|21|6
0,1,8,0.724075,62|9|43|47|1|21|6|42
0,1,9,0.724135,62|9|43|47|1|21|6|42|0
0,1,10,0.725536,62|9|43|47|1|21|6|42|0|41
0,1,11,0.725579,62|9|43|47|1|21|6|42|0|41|5
0,1,12,0.728515,62|9|43|47|1|21|6|42|0|41|5|49
0,1,13,0.728551,62|9|43|47|1|21|6|42|0|41|5|49|13
0,1,14,0.734916,62|9|43|47|1|21|6|42|0|41|5|49|13|17
0,1,15,0.772321,62|9|43|47|1|21|6|42|0|41|5|49|13|17|33
0,1,16,0.758476,62|9|43|47|1|21|6|42|0|41|5|49|13|17|33|19
0,1,17,0.761807,62|9|43|47|1|21|6|42|0|41|5|49|13|17|33|19|37
0,1,18,0.797374,62|9|43|47|1|21|6|42|0|41|5|49|13|17|33|19|37|50
0,1,19,0.797374,62|9|43|47|1|21|6|42|0|41|5|49|13|17|33|19|37|50|48
0,1,20,0.797374,62|9|43|47|1|21|6|42|0|41|5|49|13|17|33|19|37|50|48|51
0,2,1,0.736952,62
0,2,2,0.755672,62|9
0,2,3,0.732296,62|9|43
0,2,4,0.732624,62|9|43|47
0,2,5,0.736174,62|9|43|47|1
0,2,6,0.736174,62|9|43|47|1|6
0,2,7,0.736174,62|9|43|47|1|6|21
0,2,8,0.736174,62|9|43|47|1|6|21|42
0,2,9,0.736305,62|9|43|47|1|6|21|42|0
0,2,10,0.737868,62|9|43|47|1|6|21|42|0|41
0,2,11,0.738109,62|9|43|47|1|6|21|42|0|41|5
0,2,12,0.737798,62|9|43|47|1|6|21|42|0|41|5|49
0,2,13,0.738626,62|9|43|47|1|6|21|42|0|41|5|49|13
0,2,14,0.75922,62|9|43|47|1|6|21|42|0|41|5|49|13|17
0,2,15,0.780281,62|9|43|47|1|6|21|42|0|41|5|49|13|17|33
0,2,16,0.774887,62|9|43|47|1|6|21|42|0|41|5|49|13|17|33|19
0,2,17,0.774769,62|9|43|47|1|6|21|42|0|41|5|49|13|17|33|19|52
0,2,18,0.774929,62|9|43|47|1|6|21|42|0|41|5|49|13|17|33|19|52|55
0,2,19,0.774929,62|9|43|47|1|6|21|42|0|41|5|49|13|17|33|19|52|55|23
0,2,20,0.774929,62|9|43|47|1|6|21|42|0|41|5|49|13|17|33|19|52|55|23|27
